Time (s), PPG trace, Preprocessed PPG
20.492676,76.32197,75.5606
20.506012,77.1667,76.2904
20.51934,78.51194,77.5471
20.532677,80.413826,79.40248
20.546013,82.79912,81.800705
20.559341,85.452965,84.54202
20.572678,88.060425,87.319885
20.586014,90.301674,89.81302
20.599342,91.932556,91.76583
20.612679,92.83345,93.03962
20.626015,93.01167,93.61889
20.639343,92.57465,93.588486
20.65268,91.69085,93.09764
20.666008,90.545815,92.31795
20.679344,89.32021,91.421906
20.69268,88.17029,90.56324
20.706009,87.19371,89.84198
20.719345,86.42954,89.30261
20.732674,85.85092,88.92491
20.74601,85.382164,88.63899
20.759346,84.93538,88.3604
20.772675,84.456856,88.0361
20.78601,83.946594,87.665115
20.799347,83.45342,87.29527
20.812675,83.04326,86.99303
20.826012,82.76494,86.80981
20.839348,82.62577,86.75704
20.852676,82.581825,86.79515
20.866013,82.5745,86.86851
20.879341,82.53788,86.91234
20.892677,82.42069,86.87446
20.906013,82.196075,86.72549
20.919342,81.85428,86.45232
20.932678,81.40261,86.05859
20.946007,80.85573,85.55554
20.959343,80.233154,84.95971
20.97268,79.56176,84.2956
20.986008,78.86595,83.5861
20.999344,78.18234,82.86705
21.01268,77.540245,82.16815
21.026009,76.96895,81.51999
21.039345,76.4831,80.93942
21.052681,76.09247,80.43889
21.06601,75.79706,80.02137
21.079346,75.58465,79.67762
21.092674,75.44549,79.40048
21.10601,75.36248,79.17515
21.119347,75.33074,78.99849
21.132675,75.335625,78.85746
21.146011,75.36736,78.74344
21.15934,75.41619,78.6475
21.172676,75.47967,78.56773
21.186012,75.55047,78.49728
21.19934,75.61883,78.42659
21.212677,75.684746,78.3556
21.226013,75.74578,78.281784
21.239342,75.789734,78.192795
21.252678,75.81415,78.08564
21.266014,75.82147,77.96216
21.279343,75.80682,77.81693
21.292679,75.77997,77.65904
21.306007,75.74822,77.49542
21.319344,75.718925,77.33326
21.33268,75.69207,77.17262
21.346008,75.66033,77.00626
21.359344,75.62371,76.83403
21.372673,75.577324,76.65089
21.38601,75.52361,76.45897
21.399345,75.46746,76.26293
21.412674,75.41619,76.07002
21.42601,75.37469,75.88528
21.439346,75.34295,75.709
21.452675,75.31609,75.53661
21.466011,75.299,75.37315
21.479347,75.301445,75.22869
21.492676,75.335625,75.11604
21.506012,75.403984,75.03864
21.51934,75.526054,75.01709
21.532677,75.71404,75.06527
21.546013,76.02411,75.2414
21.559341,76.57099,75.66404
21.572678,77.50851,76.4944
21.586006,78.96361,77.87164
21.599342,80.97536,79.851006
21.612679,83.44366,82.349785
21.626007,86.1268,85.14054
21.639343,88.70496,87.910164
21.65268,90.86565,90.34288
21.666008,92.38178,92.19857
21.679344,93.15816,93.36188
21.69268,93.221634,93.83655
21.706009,92.67719,93.705284
21.719345,91.69817,93.12243
21.732674,90.477455,92.26728
21.74601,89.18593,91.30318
21.759346,87.9823,90.38661
21.772675,86.96666,89.62042
21.78601,86.17319,89.044655
21.79934,85.56771,88.63209
21.812675,85.084305,88.32267
21.826012,84.627754,88.025
21.83934,84.137024,87.67889
21.852676,83.612114,87.28326
21.866013,83.104294,86.88831
21.879341,82.67948,86.56051
21.892677,82.38651,86.35127
21.906013,82.23758,86.27692
21.919342,82.19852,86.30778
21.932678,82.213165,86.39113
21.946007,82.2034,86.45052
21.959343,82.11063,86.426605
21.97268,81.898224,86.28016
21.986008,81.55398,85.99523
21.999344,81.08522,85.575035
22.012672,80.50416,85.027885
22.026009,79.84985,84.389336
22.039345,79.15648,83.69127
22.052673,78.45335,82.96178
22.06601,77.77219,82.232285
22.079346,77.13985,81.53033
22.092674,76.58564,80.88674
22.10601,76.12665,80.32105
22.119347,75.772644,79.84601
22.132675,75.53094,79.4722
22.146011,75.40887,79.21047
22.15934,75.3991,79.057236
22.172676,75.48211,78.99647
22.186012,75.63592,79.009094
22.19934,75.83368,79.07048
22.212677,76.04608,79.15269
22.226006,76.25605,79.2391
22.239342,76.44648,79.31253
22.252678,76.610054,79.36506
22.266006,76.749214,79.398285
22.279343,76.86153,79.40901
22.292679,76.94942,79.39883
22.306007,77.02022,79.3743
22.319344,77.07637,79.33733
22.33268,77.12276,79.29236
22.346008,77.15694,79.236626
22.359344,77.171585,79.16243
22.372673,77.16182,79.06428
22.38601,77.120316,78.93408
22.399345,77.03975,78.76353
22.412674,76.93477,78.56604
22.42601,76.824905,78.36039
22.439339,76.70527,78.14153
22.452675,76.58808,77.92139
22.466011,76.47578,77.70246
22.47934,76.36103,77.477585
22.492676,76.24872,77.25156
22.506012,76.18036,77.06597
22.51934,76.209656,76.97591
22.532677,76.351265,76.99907
22.546013,76.52216,77.05595
22.559341,76.456245,76.88135
22.572678,75.81903,76.13339
22.586006,74.32731,74.51102
22.599342,71.85657,71.86301
22.612679,68.45319,68.205154
22.626007,64.429695,63.820816
22.639343,60.359806,59.264355
22.652672,56.941788,55.232582
22.666008,54.805523,52.375748
22.679344,54.38804,51.170937
22.692673,55.806515,51.78904
22.706009,58.765545,53.992023
22.719345,62.59861,57.161514
22.732674,66.441444,60.460556
22.74601,69.52743,63.122833
22.759346,71.4342,64.70233
22.772675,72.09338,65.09384
22.78601,71.72228,64.47566
22.79934,70.72129,63.215992
22.812675,69.5494,61.754143
22.826012,68.58503,60.463192
22.83934,68.11627,59.63772
22.852676,68.367744,59.517822
22.866005,69.88632,60.67289
22.879341,73.1017,63.572216
22.892677,77.874725,68.12967
22.906006,83.45098,73.63951
22.919342,89.03212,79.32849
22.932678,94.432594,85.011215
22.946007,100.65827,91.68791
22.959343,109.03487,100.710075
22.97268,119.75281,112.33536
22.986008,126.57908,120.4039
22.999344,122.65324,117.933655
23.012672,106.32731,102.94064
23.026009,81.5906,79.026665
23.039345,53.958344,51.444115
23.052673,30.210423,26.882393
23.06601,16.765392,11.881439
23.079338,13.740444,6.880413
23.092674,15.810788,6.880146
23.10601,17.817656,6.8810997
23.119339,19.761044,6.8812866
23.132675,21.643396,6.8811684
